course_code,course_title,u,has_asterisk
INSTR F242,Control Systems,3,No
INSTR F243,Signals & Systems,3,No
INSTR F244,Microelectronic Circuits,3,No
INSTR F312,Transducers and Instrumentation Technology,3,No
INSTR F311,Electronic Instrumentation & Measurement Systems,3,No
INSTR F313,Analog & Digital VLSI Design,3,No
INSTR F216,Electronic Devices Simulation Laboratory,2,No
INSTR F413,Advanced Process Control,3,No
INSTR F414,Telecommunication Switching Systems & Networks,3,No
INSTR F415,Digital Control,3,No
INSTR F419,Virtual Instrumentation,4,No
INSTR F420,Design of Instrumentation Systems,3,No
INSTR F422,Instrumentation for Petrochemical Industry,3,No
INSTR F424,Smart Grid for Sustainable Energy,3,No
INSTR F428,Energy Storage Systems,3,No
INSTR F429,Smart Materials and Applications,4,No
INSTR F430,Green Communications and Networks,3,No
INSTR F432,Medical Instrumentation,3,No
INSTR F473,Wind Electrical Systems,3,No
INSTR F341,Analog Electronics,4,No
INSTR F342,Power Electronics,4,No
INSTR F343,Industrial Instrumentation & Control,3,No
MF F211,Mechanics of Solids,3,No
MF F216,Materials Science and Engineering,3,No
MF F217,Machine Drawing,2,No
MF F218,Transport Phenomena in Manufacturing,4,No
MF F219,Operations Management,3,No
MF F220,Metrology and Quality Assurance,3,No
MF F221,Mechanisms and Machines,3,No
MF F222,Casting, Forming and Welding,4,No
MF F314,Design of Machine Elements,3,No
MF F315,Automation and Control,4,No
MF F316,Machining and Machine Tools,4,No
MF F317,Computer Aided Design and Manufacturing,3,No
MF F318,Non Traditional Manufacturing Processes,3,No
MF F319,Supply Chain Management,3,No
MF F320,Engineering Optimization,3,No
MAC F242,Data Structures & Algorithms,4,No
MAC F243,Numerical Optimization,3,No
MAC F244,Stochastic Calculus and Application to Finance,3,No
MAC F245,Scientific Computing Laboratory,1,No
MAC F311,Algebra I,3,No
MAC F312,Foundations of Data Science,3,No
MAC F313,Statistical Data Analysis,4,No
MAC F314,Mathematical Modelling,4,No
MAC F341,Design and Analysis of Algorithms,3,No
MAC F342,Computational Partial Differential Equations,4,No
ECON F411,Project Appraisal,3,No
ME F321,Data Mining in Mechanical Sciences,2,No
ME F340,Introduction to Sports Engg.,3,No
ME F416,Reverse Engineering and Rapid Prototyping,3,No
ME F417,Advanced Metal Forming,3,No
ME F419,Total Product Integration Engineering,3,No
ME F424,Energy Management,3,No
ME F425,Additive Manufacturing,3,No
ME F426,Industry 4.0 in Manufacturing,3,No
ME F432,Computer Aided Manufacturing,3,No
ME F436,Sustainable Energy Informatics,3,No
ME F443,Quality Control Assurance and Reliability,3,No
ME F484,Automotive Technology,3,No
MF F321,Procurement Management,3,No
MF F411,Fluid Power Systems,3,No
MF F412,Automotive Systems,3,No
MF F413,Mechanical Vibrations and Acoustics,3,No
MF F414,Manufacturing Excellence,3,No
MF F418,Lean Manufacturing,3,No
MF F422,Supply Chain Modelling and Empirical Analysis,3,No
MF F442,Advances in Materials Science,3,No
MF F453,Industrial Relations,3,No
MF F463,Maintenance and Safety,3,No
MF F471,Instrumentation and Control,3,No
MF F472,Precision Engineering,3,No
MF F473,Product Design and Development,3,No
MF F474,Product Design and Development Projects,3,No
MF F485,Sustainable Manufacturing,3,No
ECON F354,Derivatives and Risk Management,3,No
MAC F411,Computation of Option Pricing Models,4,No
MATH F243,Graphs and Networks,3,No
MATH F315,Introduction to Statistical Inference,3,No
MATH F424,Applied Stochastic Process,4,No
MATH F425,Numerical Linear Algebra,4,No
MATH F426,Mathematical Theory of Finite Element Methods,4,No
MATH F428,Time Series Analysis and Forecasting,4,No
MAC F211,Linear Algebra and Its Applications,3,No
MAC F212,Object Oriented Programming,4,No
MAC F213,Discrete Mathematics,3,No
MAC F214,Elementary Real Analysis,3,No
MAC F241,Numerical Analysis,3,No
ME F211,Mechanics of Solids,3,No
ME F212,Fluid Mechanics,3,No
ME F216,Materials Science and Engineering,3,No
ME F217,Applied Thermodynamics,4,No
ME F218,Advanced Mechanics of Solids,2,No
ME F219,Manufacturing Processes,4,No
ME F220,Heat Transfer,4,No
ME F221,Mechanisms and Machines,3,No
ME F314,Design of Machine Elements,3,No
ME F315,Advanced Manufacturing Processes,3,No
ME F316,Manufacturing Management,2,No
ME F317,Engines, Motors, and Mobility,2,No
ME F318,Computer-Aided Design,1,No
ME F319,Vibrations and Control,3,No
ME F320,Engineering Optimization,3,No
ME F341,Prime Movers & Fluid Machines,3,No
AN F311,Principles of Aerodynamics,3,No
AN F312,Aircraft Propulsion,3,No
AN F313,Flight Mechanics and Controls,3,No
AN F314,Introduction to Flight,3,No
AN F315,Aircraft Structures,30,No
BITS F451,Autonomous Mobile Robotics,3,No
BITS F462,Renewable Energy,3,No
DE G513,Tribology,5,No
DE G514,Fracture Mechanics,5,No
DE G531,Product Design,5,No
MATH F313,Numerical Analysis,3,No
ME F324,Cell and Tissue Biomechanics,3,No
ME F325,Fundamentals of Soft Matter,4,No
ME F411,Fluid Power Systems,4,No
ME F413,Nonlinear Vibrations,3,No
ME F414,Fuel Cell Science and Technology,3*,Yes
ME F415,Gas Dynamics,3,No
ME F418,Rocket and Spacecraft Propulsion,30,No
ME F420,Power Plant Engineering,30,No
ME F423,Microfluidics and Applications,4*,Yes
ME F427,Continuum Mechanics,4,No
ME F428,Smart Materials,4,No
ME F429,Micro-Nanoscale Heat Transport,4,No
ME F430,Fluid-Structure Interactions,3,No
ME F434,Digital Twins in Mechanical Engineering,4,No
ME F435,Shape Memory Alloys: Fundamentals and Applications,3,No
ME F437,Thermo-fluidic of Food Process Engineering,3,No
ME F441,Automotive Vehicles,3,No
ME F451,Mechanical Equipment Design,3,No
ME F452,Composite Materials & Design,3,No
ME F461,Refrigeration and Air conditioning,3,No
ME F472,Precision Engineering,3,No
ME F482,Combustion,3,No
ME F483,Wind Energy,3,No
